evolution_id,pokemon_id,stage,name,text,image,from_pokemon,form_name
0010_0_0,0010,未进化,绿毛虫,,010Caterpie_Dream.png,,
0010_0_1,0010,1阶进化,铁甲蛹,等级7以上,011Metapod_Dream.png,绿毛虫,
0010_0_2,0010,2阶进化,巴大蝶,等级10以上,012Butterfree_Dream.png,铁甲蛹,
0011_0_0,0011,未进化,绿毛虫,,010Caterpie_Dream.png,,
0011_0_1,0011,1阶进化,铁甲蛹,等级7以上,011Metapod_Dream.png,绿毛虫,
0011_0_2,0011,2阶进化,巴大蝶,等级10以上,012Butterfree_Dream.png,铁甲蛹,
0012_0_0,0012,未进化,绿毛虫,,010Caterpie_Dream.png,,
0012_0_1,0012,1阶进化,铁甲蛹,等级7以上,011Metapod_Dream.png,绿毛虫,
0012_0_2,0012,2阶进化,巴大蝶,等级10以上,012Butterfree_Dream.png,铁甲蛹,
0013_0_0,0013,未进化,独角虫,,013Weedle_Dream.png,,
0013_0_1,0013,1阶进化,铁壳蛹,等级7以上,014Kakuna_Dream.png,独角虫,
0013_0_2,0013,2阶进化,大针蜂,等级10以上,015Beedrill_Dream.png,铁壳蛹,
0014_0_0,0014,未进化,独角虫,,013Weedle_Dream.png,,
0014_0_1,0014,1阶进化,铁壳蛹,等级7以上,014Kakuna_Dream.png,独角虫,
0014_0_2,0014,2阶进化,大针蜂,等级10以上,015Beedrill_Dream.png,铁壳蛹,
0015_0_0,0015,未进化,独角虫,,013Weedle_Dream.png,,
0015_0_1,0015,1阶进化,铁壳蛹,等级7以上,014Kakuna_Dream.png,独角虫,
0015_0_2,0015,2阶进化,大针蜂,等级10以上,015Beedrill_Dream.png,铁壳蛹,
0016_0_0,0016,未进化,波波,,016Pidgey_Dream.png,,
0016_0_1,0016,1阶进化,比比鸟,等级18以上,017Pidgeotto_Dream.png,波波,
0016_0_2,0016,2阶进化,大比鸟,等级36以上,018Pidgeot_Dream.png,比比鸟,
0017_0_0,0017,未进化,波波,,016Pidgey_Dream.png,,
0017_0_1,0017,1阶进化,比比鸟,等级18以上,017Pidgeotto_Dream.png,波波,
0017_0_2,0017,2阶进化,大比鸟,等级36以上,018Pidgeot_Dream.png,比比鸟,
0018_0_0,0018,未进化,波波,,016Pidgey_Dream.png,,
0018_0_1,0018,1阶进化,比比鸟,等级18以上,017Pidgeotto_Dream.png,波波,
0018_0_2,0018,2阶进化,大比鸟,等级36以上,018Pidgeot_Dream.png,比比鸟,
0019_0_0,0019,未进化,小拉达,,019Rattata_Dream.png,,
0019_0_1,0019,1阶进化,拉达,等级20以上,020Raticate_Dream.png,小拉达,
0019_1_0,0019,未进化,小拉达,,019Rattata-Alola_Dream.png,,阿罗拉的样子
0019_1_1,0019,1阶进化,拉达,等级20以上（夜晚）,020Raticate-Alola_Dream.png,小拉达,阿罗拉的样子
0020_0_0,0020,未进化,小拉达,,019Rattata_Dream.png,,
0020_0_1,0020,1阶进化,拉达,等级20以上,020Raticate_Dream.png,小拉达,
0020_1_0,0020,未进化,小拉达,,019Rattata-Alola_Dream.png,,阿罗拉的样子
0020_1_1,0020,1阶进化,拉达,等级20以上（夜晚）,020Raticate-Alola_Dream.png,小拉达,阿罗拉的样子
0021_0_0,0021,未进化,烈雀,,021Spearow_Dream.png,,
0021_0_1,0021,1阶进化,大嘴雀,等级20以上,022Fearow_Dream.png,烈雀,
0022_0_0,0022,未进化,烈雀,,021Spearow_Dream.png,,
0022_0_1,0022,1阶进化,大嘴雀,等级20以上,022Fearow_Dream.png,烈雀,
0023_0_0,0023,未进化,阿柏蛇,,023Ekans_Dream.png,,
0023_0_1,0023,1阶进化,阿柏怪,等级22以上,024Arbok_Dream.png,阿柏蛇,
0024_0_0,0024,未进化,阿柏蛇,,023Ekans_Dream.png,,
0024_0_1,0024,1阶进化,阿柏怪,等级22以上,024Arbok_Dream.png,阿柏蛇,
0025_0_0,0025,幼年,皮丘,,172Pichu_Dream.png,,
0025_0_1,0025,1阶进化,皮卡丘,亲密度*220以上或友好度*158以上提升等级,025Pikachu_Dream.png,皮丘,
0025_0_2,0025,2阶进化,雷丘,使用雷之石（在其他地区或究极空间）,026Raichu_Dream.png,皮卡丘,
0025_0_3,0025,2阶进化,雷丘,使用雷之石（在阿罗拉地区）,026Raichu-Alola_Dream.png,皮卡丘,阿罗拉的样子
0026_0_0,0026,幼年,皮丘,,172Pichu_Dream.png,,
0026_0_1,0026,1阶进化,皮卡丘,亲密度*220以上或友好度*158以上提升等级,025Pikachu_Dream.png,皮丘,
0026_0_2,0026,2阶进化,雷丘,使用雷之石（在其他地区或究极空间）,026Raichu_Dream.png,皮卡丘,
0026_0_3,0026,2阶进化,雷丘,使用雷之石（在阿罗拉地区）,026Raichu-Alola_Dream.png,皮卡丘,阿罗拉的样子
0027_0_0,0027,未进化,穿山鼠,,027Sandshrew_Dream.png,,
0027_0_1,0027,1阶进化,穿山王,等级22以上,028Sandslash_Dream.png,穿山鼠,
0027_1_0,0027,未进化,穿山鼠,,027Sandshrew-Alola_Dream.png,,阿罗拉的样子
0027_1_1,0027,1阶进化,穿山王,使用冰之石,028Sandslash-Alola_Dream.png,穿山鼠,阿罗拉的样子
0028_0_0,0028,未进化,穿山鼠,,027Sandshrew_Dream.png,,
0028_0_1,0028,1阶进化,穿山王,等级22以上,028Sandslash_Dream.png,穿山鼠,
0028_1_0,0028,未进化,穿山鼠,,027Sandshrew-Alola_Dream.png,,阿罗拉的样子
0028_1_1,0028,1阶进化,穿山王,使用冰之石,028Sandslash-Alola_Dream.png,穿山鼠,阿罗拉的样子
0029_0_0,0029,未进化,尼多兰,,029Nidoran%E2%99%80_Dream.png,,
0029_0_1,0029,1阶进化,尼多娜,等级16以上,030Nidorina_Dream.png,尼多兰,
0029_0_2,0029,2阶进化,尼多后,使用月之石,031Nidoqueen_Dream.png,尼多娜,
0030_0_0,0030,未进化,尼多兰,,029Nidoran%E2%99%80_Dream.png,,
0030_0_1,0030,1阶进化,尼多娜,等级16以上,030Nidorina_Dream.png,尼多兰,
0030_0_2,0030,2阶进化,尼多后,使用月之石,031Nidoqueen_Dream.png,尼多娜,
0031_0_0,0031,未进化,尼多兰,,029Nidoran%E2%99%80_Dream.png,,
0031_0_1,0031,1阶进化,尼多娜,等级16以上,030Nidorina_Dream.png,尼多兰,
0031_0_2,0031,2阶进化,尼多后,使用月之石,031Nidoqueen_Dream.png,尼多娜,
0032_0_0,0032,未进化,尼多朗,,032Nidoran%E2%99%82_Dream.png,,
0032_0_1,0032,1阶进化,尼多力诺,等级16以上,033Nidorino_Dream.png,尼多朗,
0032_0_2,0032,2阶进化,尼多王,使用月之石,034Nidoking_Dream.png,尼多力诺,
0033_0_0,0033,未进化,尼多朗,,032Nidoran%E2%99%82_Dream.png,,
0033_0_1,0033,1阶进化,尼多力诺,等级16以上,033Nidorino_Dream.png,尼多朗,
0033_0_2,0033,2阶进化,尼多王,使用月之石,034Nidoking_Dream.png,尼多力诺,
0034_0_0,0034,未进化,尼多朗,,032Nidoran%E2%99%82_Dream.png,,
0034_0_1,0034,1阶进化,尼多力诺,等级16以上,033Nidorino_Dream.png,尼多朗,
0034_0_2,0034,2阶进化,尼多王,使用月之石,034Nidoking_Dream.png,尼多力诺,
0035_0_0,0035,幼年,皮宝宝,,173Cleffa_Dream.png,,
0035_0_1,0035,1阶进化,皮皮,亲密度*220以上或友好度*158以上提升等级,035Clefairy_Dream.png,皮宝宝,
0035_0_2,0035,2阶进化,皮可西,使用月之石,036Clefable_Dream.png,皮皮,
0036_0_0,0036,幼年,皮宝宝,,173Cleffa_Dream.png,,
0036_0_1,0036,1阶进化,皮皮,亲密度*220以上或友好度*158以上提升等级,035Clefairy_Dream.png,皮宝宝,
0036_0_2,0036,2阶进化,皮可西,使用月之石,036Clefable_Dream.png,皮皮,
0037_0_0,0037,未进化,六尾,,037Vulpix_Dream.png,,
0037_0_1,0037,1阶进化,九尾,使用火之石,038Ninetales_Dream.png,六尾,
0037_1_0,0037,未进化,六尾,,037Vulpix-Alola_Dream.png,,阿罗拉的样子
0037_1_1,0037,1阶进化,九尾,使用冰之石,038Ninetales-Alola_Dream.png,六尾,阿罗拉的样子
0038_0_0,0038,未进化,六尾,,037Vulpix_Dream.png,,
0038_0_1,0038,1阶进化,九尾,使用火之石,038Ninetales_Dream.png,六尾,
0038_1_0,0038,未进化,六尾,,037Vulpix-Alola_Dream.png,,阿罗拉的样子
0038_1_1,0038,1阶进化,九尾,使用冰之石,038Ninetales-Alola_Dream.png,六尾,阿罗拉的样子
0039_0_0,0039,幼年,宝宝丁,,174Igglybuff_Dream.png,,
0039_0_1,0039,1阶进化,胖丁,亲密度*220以上或友好度*158以上提升等级,039Jigglypuff_Dream.png,宝宝丁,
0039_0_2,0039,2阶进化,胖可丁,使用月之石,040Wigglytuff_Dream.png,胖丁,
0040_0_0,0040,幼年,宝宝丁,,174Igglybuff_Dream.png,,
0040_0_1,0040,1阶进化,胖丁,亲密度*220以上或友好度*158以上提升等级,039Jigglypuff_Dream.png,宝宝丁,
0040_0_2,0040,2阶进化,胖可丁,使用月之石,040Wigglytuff_Dream.png,胖丁,
0041_0_0,0041,未进化,超音蝠,,041Zubat_Dream.png,,
0041_0_1,0041,1阶进化,大嘴蝠,等级22以上,042Golbat_Dream.png,超音蝠,
0041_0_2,0041,2阶进化,叉字蝠,亲密度*220以上或友好度*158以上提升等级,169Crobat_Dream.png,大嘴蝠,
0042_0_0,0042,未进化,超音蝠,,041Zubat_Dream.png,,
0042_0_1,0042,1阶进化,大嘴蝠,等级22以上,042Golbat_Dream.png,超音蝠,
0042_0_2,0042,2阶进化,叉字蝠,亲密度*220以上或友好度*158以上提升等级,169Crobat_Dream.png,大嘴蝠,
0043_0_0,0043,未进化,走路草,,043Oddish_Dream.png,,
0043_0_1,0043,1阶进化,臭臭花,等级21以上,044Gloom_Dream.png,走路草,
0043_0_2,0043,2阶进化,霸王花,使用叶之石,045Vileplume_Dream.png,臭臭花,
0043_0_3,0043,2阶进化,美丽花,使用日之石,182Bellossom_Dream.png,臭臭花,
0044_0_0,0044,未进化,走路草,,043Oddish_Dream.png,,
0044_0_1,0044,1阶进化,臭臭花,等级21以上,044Gloom_Dream.png,走路草,
0044_0_2,0044,2阶进化,霸王花,使用叶之石,045Vileplume_Dream.png,臭臭花,
0044_0_3,0044,2阶进化,美丽花,使用日之石,182Bellossom_Dream.png,臭臭花,
0045_0_0,0045,未进化,走路草,,043Oddish_Dream.png,,
0045_0_1,0045,1阶进化,臭臭花,等级21以上,044Gloom_Dream.png,走路草,
0045_0_2,0045,2阶进化,霸王花,使用叶之石,045Vileplume_Dream.png,臭臭花,
0046_0_0,0046,未进化,派拉斯,,046Paras_Dream.png,,
0046_0_1,0046,1阶进化,派拉斯特,等级24以上,047Parasect_Dream.png,派拉斯,
0047_0_0,0047,未进化,派拉斯,,046Paras_Dream.png,,
0047_0_1,0047,1阶进化,派拉斯特,等级24以上,047Parasect_Dream.png,派拉斯,
0048_0_0,0048,未进化,毛球,,048Venonat_Dream.png,,
0048_0_1,0048,1阶进化,摩鲁蛾,等级31以上,049Venomoth_Dream.png,毛球,
0049_0_0,0049,未进化,毛球,,048Venonat_Dream.png,,
0049_0_1,0049,1阶进化,摩鲁蛾,等级31以上,049Venomoth_Dream.png,毛球,
0050_0_0,0050,未进化,地鼠,,050Diglett_Dream.png,,
0050_0_1,0050,1阶进化,三地鼠,等级26以上,051Dugtrio_Dream.png,地鼠,
0050_1_0,0050,未进化,地鼠,,050Diglett-Alola_Dream.png,,阿罗拉的样子
0050_1_1,0050,1阶进化,三地鼠,等级26以上,051Dugtrio-Alola_Dream.png,地鼠,阿罗拉的样子
0051_0_0,0051,未进化,地鼠,,050Diglett_Dream.png,,
0051_0_1,0051,1阶进化,三地鼠,等级26以上,051Dugtrio_Dream.png,地鼠,
0051_1_0,0051,未进化,地鼠,,050Diglett-Alola_Dream.png,,阿罗拉的样子
0051_1_1,0051,1阶进化,三地鼠,等级26以上,051Dugtrio-Alola_Dream.png,地鼠,阿罗拉的样子
0052_0_0,0052,未进化,喵喵,,052Meowth_Dream.png,,
0052_0_1,0052,1阶进化,猫老大,等级28以上,053Persian_Dream.png,喵喵,
0052_1_0,0052,未进化,喵喵,,052Meowth-Galar_Dream.png,,伽勒尔的样子
0052_1_1,0052,1阶进化,喵头目,等级28以上,863Perrserker_Dream.png,喵喵,
0053_0_0,0053,未进化,喵喵,,052Meowth_Dream.png,,
0053_0_1,0053,1阶进化,猫老大,等级28以上,053Persian_Dream.png,喵喵,
0053_1_0,0053,未进化,喵喵,,052Meowth-Alola_Dream.png,,阿罗拉的样子
0053_1_1,0053,1阶进化,猫老大,亲密度*220以上或友好度*158以上提升等级,053Persian-Alola_Dream.png,喵喵,阿罗拉的样子
0054_0_0,0054,未进化,可达鸭,,054Psyduck_Dream.png,,
0054_0_1,0054,1阶进化,哥达鸭,等级33以上,055Golduck_Dream.png,可达鸭,
0055_0_0,0055,未进化,可达鸭,,054Psyduck_Dream.png,,
0055_0_1,0055,1阶进化,哥达鸭,等级33以上,055Golduck_Dream.png,可达鸭,
0056_0_0,0056,未进化,猴怪,,056Mankey_Dream.png,,
0056_0_1,0056,1阶进化,火暴猴,等级28以上,057Primeape_Dream.png,猴怪,
0056_0_2,0056,2阶进化,弃世猴,使出20次愤怒之拳后提升等级,979Annihilape_Dream.png,火暴猴,
0057_0_0,0057,未进化,猴怪,,056Mankey_Dream.png,,
0057_0_1,0057,1阶进化,火暴猴,等级28以上,057Primeape_Dream.png,猴怪,
0057_0_2,0057,2阶进化,弃世猴,使出20次愤怒之拳后提升等级,979Annihilape_Dream.png,火暴猴,
0058_0_0,0058,未进化,卡蒂狗,,058Growlithe_Dream.png,,
0058_0_1,0058,1阶进化,风速狗,使用火之石,059Arcanine_Dream.png,卡蒂狗,
0058_1_0,0058,未进化,卡蒂狗,,058Growlithe-Hisui_Dream.png,,洗翠的样子
0058_1_1,0058,1阶进化,风速狗,使用火之石,059Arcanine-Hisui.png,卡蒂狗,洗翠的样子
0059_0_0,0059,未进化,卡蒂狗,,058Growlithe_Dream.png,,
0059_0_1,0059,1阶进化,风速狗,使用火之石,059Arcanine_Dream.png,卡蒂狗,
0059_1_0,0059,未进化,卡蒂狗,,058Growlithe-Hisui_Dream.png,,洗翠的样子
0059_1_1,0059,1阶进化,风速狗,使用火之石,059Arcanine-Hisui.png,卡蒂狗,洗翠的样子
0060_0_0,0060,未进化,蚊香蝌蚪,,060Poliwag_Dream.png,,
0060_0_1,0060,1阶进化,蚊香君,等级25以上,061Poliwhirl_Dream.png,蚊香蝌蚪,
0060_0_2,0060,2阶进化,蚊香泳士,使用水之石,062Poliwrath_Dream.png,蚊香君,
0060_0_3,0060,2阶进化,蚊香蛙皇,携带王者之证连接交换,186Politoed_Dream.png,蚊香君,
0061_0_0,0061,未进化,蚊香蝌蚪,,060Poliwag_Dream.png,,
0061_0_1,0061,1阶进化,蚊香君,等级25以上,061Poliwhirl_Dream.png,蚊香蝌蚪,
0061_0_2,0061,2阶进化,蚊香泳士,使用水之石,062Poliwrath_Dream.png,蚊香君,
0061_0_3,0061,2阶进化,蚊香蛙皇,携带王者之证连接交换,186Politoed_Dream.png,蚊香君,
0062_0_0,0062,未进化,蚊香蝌蚪,,060Poliwag_Dream.png,,
0062_0_1,0062,1阶进化,蚊香君,等级25以上,061Poliwhirl_Dream.png,蚊香蝌蚪,
0062_0_2,0062,2阶进化,蚊香泳士,使用水之石,062Poliwrath_Dream.png,蚊香君,
0063_0_0,0063,未进化,凯西,,063Abra_Dream.png,,
0063_0_1,0063,1阶进化,勇基拉,等级16以上,064Kadabra_Dream.png,凯西,
0063_0_2,0063,2阶进化,胡地,连接交换,065Alakazam_Dream.png,勇基拉,
0064_0_0,0064,未进化,凯西,,063Abra_Dream.png,,
0064_0_1,0064,1阶进化,勇基拉,等级16以上,064Kadabra_Dream.png,凯西,
0064_0_2,0064,2阶进化,胡地,连接交换,065Alakazam_Dream.png,勇基拉,
0065_0_0,0065,未进化,凯西,,063Abra_Dream.png,,
0065_0_1,0065,1阶进化,勇基拉,等级16以上,064Kadabra_Dream.png,凯西,
0065_0_2,0065,2阶进化,胡地,连接交换,065Alakazam_Dream.png,勇基拉,
0066_0_0,0066,未进化,腕力,,066Machop_Dream.png,,
0066_0_1,0066,1阶进化,豪力,等级28以上,067Machoke_Dream.png,腕力,
0066_0_2,0066,2阶进化,怪力,连接交换,068Machamp_Dream.png,豪力,
0067_0_0,0067,未进化,腕力,,066Machop_Dream.png,,
0067_0_1,0067,1阶进化,豪力,等级28以上,067Machoke_Dream.png,腕力,
0067_0_2,0067,2阶进化,怪力,连接交换,068Machamp_Dream.png,豪力,
0068_0_0,0068,未进化,腕力,,066Machop_Dream.png,,
0068_0_1,0068,1阶进化,豪力,等级28以上,067Machoke_Dream.png,腕力,
0068_0_2,0068,2阶进化,怪力,连接交换,068Machamp_Dream.png,豪力,
0069_0_0,0069,未进化,喇叭芽,,069Bellsprout_Dream.png,,
0069_0_1,0069,1阶进化,口呆花,等级21以上,070Weepinbell_Dream.png,喇叭芽,
0069_0_2,0069,2阶进化,大食花,使用叶之石,071Victreebel_Dream.png,口呆花,
0070_0_0,0070,未进化,喇叭芽,,069Bellsprout_Dream.png,,
0070_0_1,0070,1阶进化,口呆花,等级21以上,070Weepinbell_Dream.png,喇叭芽,
0070_0_2,0070,2阶进化,大食花,使用叶之石,071Victreebel_Dream.png,口呆花,
0071_0_0,0071,未进化,喇叭芽,,069Bellsprout_Dream.png,,
0071_0_1,0071,1阶进化,口呆花,等级21以上,070Weepinbell_Dream.png,喇叭芽,
0071_0_2,0071,2阶进化,大食花,使用叶之石,071Victreebel_Dream.png,口呆花,
0072_0_0,0072,未进化,玛瑙水母,,072Tentacool_Dream.png,,
0072_0_1,0072,1阶进化,毒刺水母,等级30以上,073Tentacruel_Dream.png,玛瑙水母,
0073_0_0,0073,未进化,玛瑙水母,,072Tentacool_Dream.png,,
0073_0_1,0073,1阶进化,毒刺水母,等级30以上,073Tentacruel_Dream.png,玛瑙水母,
0074_0_0,0074,未进化,小拳石,,074Geodude_Dream.png,,
0074_0_1,0074,1阶进化,隆隆石,等级25以上,075Graveler_Dream.png,小拳石,
0074_0_2,0074,2阶进化,隆隆岩,连接交换,076Golem_Dream.png,隆隆石,
0074_1_0,0074,未进化,小拳石,,074Geodude-Alola_Dream.png,,阿罗拉的样子
0074_1_1,0074,1阶进化,隆隆石,等级25以上,075Graveler-Alola_Dream.png,小拳石,阿罗拉的样子
0074_1_2,0074,2阶进化,隆隆岩,连接交换,076Golem-Alola_Dream.png,隆隆石,阿罗拉的样子
0075_0_0,0075,未进化,小拳石,,074Geodude_Dream.png,,
0075_0_1,0075,1阶进化,隆隆石,等级25以上,075Graveler_Dream.png,小拳石,
0075_0_2,0075,2阶进化,隆隆岩,连接交换,076Golem_Dream.png,隆隆石,
0075_1_0,0075,未进化,小拳石,,074Geodude-Alola_Dream.png,,阿罗拉的样子
0075_1_1,0075,1阶进化,隆隆石,等级25以上,075Graveler-Alola_Dream.png,小拳石,阿罗拉的样子
0075_1_2,0075,2阶进化,隆隆岩,连接交换,076Golem-Alola_Dream.png,隆隆石,阿罗拉的样子
0076_0_0,0076,未进化,小拳石,,074Geodude_Dream.png,,
0076_0_1,0076,1阶进化,隆隆石,等级25以上,075Graveler_Dream.png,小拳石,
0076_0_2,0076,2阶进化,隆隆岩,连接交换,076Golem_Dream.png,隆隆石,
0076_1_0,0076,未进化,小拳石,,074Geodude-Alola_Dream.png,,阿罗拉的样子
0076_1_1,0076,1阶进化,隆隆石,等级25以上,075Graveler-Alola_Dream.png,小拳石,阿罗拉的样子
0076_1_2,0076,2阶进化,隆隆岩,连接交换,076Golem-Alola_Dream.png,隆隆石,阿罗拉的样子
0077_0_0,0077,未进化,小火马,,077Ponyta_Dream.png,,
0077_0_1,0077,1阶进化,烈焰马,等级40以上,078Rapidash_Dream.png,小火马,
0077_1_0,0077,未进化,小火马,,077Ponyta-Galar_Dream.png,,伽勒尔的样子
0077_1_1,0077,1阶进化,烈焰马,等级40以上,078Rapidash-Galar_Dream.png,小火马,伽勒尔的样子
0078_0_0,0078,未进化,小火马,,077Ponyta_Dream.png,,
0078_0_1,0078,1阶进化,烈焰马,等级40以上,078Rapidash_Dream.png,小火马,
0078_1_0,0078,未进化,小火马,,077Ponyta-Galar_Dream.png,,伽勒尔的样子
0078_1_1,0078,1阶进化,烈焰马,等级40以上,078Rapidash-Galar_Dream.png,小火马,伽勒尔的样子
0079_0_0,0079,未进化,呆呆兽,,079Slowpoke_Dream.png,,
0079_0_1,0079,1阶进化,呆壳兽,等级37以上,080Slowbro_Dream.png,呆呆兽,
0079_0_2,0079,1阶进化,呆呆王,携带王者之证连接交换,199Slowking_Dream.png,呆呆兽,
0079_1_0,0079,未进化,呆呆兽,,079Slowpoke-Galar_Dream.png,,伽勒尔的样子
0079_1_1,0079,1阶进化,呆壳兽,使用伽勒豆蔻手环,080Slowbro-Galar_Dream.png,呆呆兽,
0079_1_2,0079,1阶进化,呆呆王,使用伽勒豆蔻花圈,199Slowking-Galar_Dream.png,呆呆兽,
0080_0_0,0080,未进化,呆呆兽,,079Slowpoke_Dream.png,,
0080_0_1,0080,1阶进化,呆壳兽,等级37以上,080Slowbro_Dream.png,呆呆兽,
0080_1_0,0080,未进化,呆呆兽,,079Slowpoke-Galar_Dream.png,,伽勒尔的样子
0080_1_1,0080,1阶进化,呆壳兽,使用伽勒豆蔻手环,080Slowbro-Galar_Dream.png,呆呆兽,伽勒尔的样子
0081_0_0,0081,未进化,小磁怪,,081Magnemite_Dream.png,,
0081_0_1,0081,1阶进化,三合一磁怪,等级30以上,082Magneton_Dream.png,小磁怪,
0081_0_2,0081,2阶进化,自爆磁怪,来到特殊磁场附近提升等级,462Magnezone_Dream.png,三合一磁怪,
0082_0_0,0082,未进化,小磁怪,,081Magnemite_Dream.png,,
0082_0_1,0082,1阶进化,三合一磁怪,等级30以上,082Magneton_Dream.png,小磁怪,
0082_0_2,0082,2阶进化,自爆磁怪,来到特殊磁场附近提升等级,462Magnezone_Dream.png,三合一磁怪,
0083_0_0,0083,未进化,大葱鸭,,083Farfetch%27d_Dream.png,,
0083_1_0,0083,未进化,大葱鸭,,083Farfetch%27d-Galar_Dream.png,,伽勒尔的样子
0083_1_1,0083,1阶进化,葱游兵,对战中击中要害3次或以上结束对战,865Sirfetch%27d_Dream.png,大葱鸭,
0084_0_0,0084,未进化,嘟嘟,,084Doduo_Dream.png,,
0084_0_1,0084,1阶进化,嘟嘟利,等级31以上,085Dodrio_Dream.png,嘟嘟,
0085_0_0,0085,未进化,嘟嘟,,084Doduo_Dream.png,,
0085_0_1,0085,1阶进化,嘟嘟利,等级31以上,085Dodrio_Dream.png,嘟嘟,
0086_0_0,0086,未进化,小海狮,,086Seel_Dream.png,,
0086_0_1,0086,1阶进化,白海狮,等级34以上,087Dewgong_Dream.png,小海狮,
0087_0_0,0087,未进化,小海狮,,086Seel_Dream.png,,
0087_0_1,0087,1阶进化,白海狮,等级34以上,087Dewgong_Dream.png,小海狮,
0088_0_0,0088,未进化,臭泥,,088Grimer_Dream.png,,
0088_0_1,0088,1阶进化,臭臭泥,等级38以上,089Muk_Dream.png,臭泥,
0088_1_0,0088,未进化,臭泥,,088Grimer-Alola_Dream.png,,阿罗拉的样子
0088_1_1,0088,1阶进化,臭臭泥,等级38以上,089Muk-Alola_Dream.png,臭泥,阿罗拉的样子
0089_0_0,0089,未进化,臭泥,,088Grimer_Dream.png,,
0089_0_1,0089,1阶进化,臭臭泥,等级38以上,089Muk_Dream.png,臭泥,
0089_1_0,0089,未进化,臭泥,,088Grimer-Alola_Dream.png,,阿罗拉的样子
0089_1_1,0089,1阶进化,臭臭泥,等级38以上,089Muk-Alola_Dream.png,臭泥,阿罗拉的样子
0090_0_0,0090,未进化,大舌贝,,090Shellder_Dream.png,,
0090_0_1,0090,1阶进化,刺甲贝,使用水之石,091Cloyster_Dream.png,大舌贝,
0091_0_0,0091,未进化,大舌贝,,090Shellder_Dream.png,,
0091_0_1,0091,1阶进化,刺甲贝,使用水之石,091Cloyster_Dream.png,大舌贝,
0092_0_0,0092,未进化,鬼斯,,092Gastly_Dream.png,,
0092_0_1,0092,1阶进化,鬼斯通,等级25以上,093Haunter_Dream.png,鬼斯,
0092_0_2,0092,2阶进化,耿鬼,连接交换,094Gengar_Dream.png,鬼斯通,
0093_0_0,0093,未进化,鬼斯,,092Gastly_Dream.png,,
0093_0_1,0093,1阶进化,鬼斯通,等级25以上,093Haunter_Dream.png,鬼斯,
0093_0_2,0093,2阶进化,耿鬼,连接交换,094Gengar_Dream.png,鬼斯通,
0094_0_0,0094,未进化,鬼斯,,092Gastly_Dream.png,,
0094_0_1,0094,1阶进化,鬼斯通,等级25以上,093Haunter_Dream.png,鬼斯,
0094_0_2,0094,2阶进化,耿鬼,连接交换,094Gengar_Dream.png,鬼斯通,
0095_0_0,0095,未进化,大岩蛇,,095Onix_Dream.png,,
0095_0_1,0095,1阶进化,大钢蛇,携带金属膜连接交换,208Steelix_Dream.png,大岩蛇,
0096_0_0,0096,未进化,催眠貘,,096Drowzee_Dream.png,,
