text_id,pokemon_id,generation,version,group,text
33,0002,第九世代,紫,宝可梦 朱／紫,背上的花苞会在吸收养分后鼓起。快开花时会散发出很香的味道。
1,0003,第一世代,红,宝可梦 红／绿／蓝,花朵散发出的迷人香味能安抚激动的心情，甚至消弭斗争。
2,0003,第一世代,绿,宝可梦 红／绿／蓝,花朵散发出的迷人香味能安抚激动的心情，甚至消弭斗争。
3,0003,第一世代,蓝,宝可梦 红／绿／蓝,把太阳的能源当成养分，开出硕大的花朵。总是朝着有阳光的地方移动。
4,0003,第一世代,皮卡丘,宝可梦 皮卡丘,它背上开出的大花能够吸收太阳光并将其转换为能量。
5,0003,第二世代,金,宝可梦 金／银,展开大片的花瓣沐浴阳光时，身体就会变得充满活力。
6,0003,第二世代,银,宝可梦 金／银,因为能将沐浴到的太阳光转换成能量，所以在夏天会变得更强。
7,0003,第二世代,水晶版,宝可梦 水晶版,如果经常晒太阳，它的花瓣就能够释放一种令人愉快的香味。*
8,0003,第三世代,红宝石,宝可梦 红宝石／蓝宝石,据说充足的营养和阳光会让花儿的颜色变得更加鲜艳。花香会治愈人心。
9,0003,第三世代,蓝宝石,宝可梦 红宝石／蓝宝石,据说充足的营养和阳光会让花儿的颜色变得更加鲜艳。花香会治愈人心。
10,0003,第三世代,绿宝石,宝可梦 绿宝石,据说充足的营养和阳光会让花儿的颜色变得更加鲜艳。花香会治愈人心。
11,0003,第三世代,火红,宝可梦 火红／叶绿,花朵散发出的迷人香味能安抚激动的心情，甚至消弭斗争。
12,0003,第三世代,叶绿,宝可梦 火红／叶绿,把太阳的能源当成养分，开出硕大的花朵。总是朝着有阳光的地方移动。
13,0003,第四世代,钻石,宝可梦 钻石／珍珠,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
14,0003,第四世代,珍珠,宝可梦 钻石／珍珠,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
15,0003,第四世代,白金,宝可梦 白金,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
16,0003,第四世代,心金,宝可梦 心金／魂银,展开大片的花瓣沐浴阳光时，身体就会变得充满活力。
17,0003,第四世代,魂银,宝可梦 心金／魂银,因为能将沐浴到的太阳光转换成能量，所以在夏天会变得更强。
18,0003,第五世代,黑,宝可梦 黑／白,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
19,0003,第五世代,白,宝可梦 黑／白,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
20,0003,第五世代,黑２,宝可梦 黑２／白２,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
21,0003,第五世代,白２,宝可梦 黑２／白２,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
22,0003,第六世代,Ｘ,宝可梦 Ｘ／Ｙ,展开大片的花瓣沐浴阳光时，身体就会变得充满活力。
23,0003,第六世代,Ｙ,宝可梦 Ｘ／Ｙ,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
24,0003,第六世代,欧米伽红宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,据说充足的营养和阳光会让花儿的颜色变得更加鲜艳。花香会治愈人心。
25,0003,第六世代,阿尔法蓝宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,据说充足的营养和阳光会让花儿的颜色变得更加鲜艳。花香会治愈人心。
26,0003,第七世代,Let's Go! 皮卡丘,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,它背上开出的大花能够吸收太阳光并将其转换为能量。为了支撑在超级进化后成长得更大的花，它的腰腿也变得更加健壮了。（超级进化）
27,0003,第七世代,Let's Go! 伊布,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,它背上开出的大花能够吸收太阳光并将其转换为能量。为了支撑在超级进化后成长得更大的花，它的腰腿也变得更加健壮了。（超级进化）
28,0003,第八世代,剑,宝可梦 剑／盾,把太阳的能源当成养分，开出硕大的花朵。总是朝着有阳光的地方移动。通过挥舞２根粗壮的藤蔓来战斗。其力量强到就连１０层高的大楼都能轻易撂倒。（超极巨化）
29,0003,第八世代,盾,宝可梦 剑／盾,花朵散发出的迷人香味能安抚激动的心情，甚至消弭斗争。会用火山喷发般的气势播撒大量的花粉。如果吸入过多花粉，可是会昏倒的。（超极巨化）
30,0003,第八世代,晶灿钻石,宝可梦 晶灿钻石／明亮珍珠,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
31,0003,第八世代,明亮珍珠,宝可梦 晶灿钻石／明亮珍珠,雨后第二天，它背上花朵的香味会愈加浓郁。宝可梦会被香味引诱而聚拢过来。
32,0003,第九世代,朱,宝可梦 朱／紫,因为能将沐浴到的太阳光转换成能量，所以在夏天会变得更强。
33,0003,第九世代,紫,宝可梦 朱／紫,展开大片的花瓣沐浴阳光时，身体就会变得充满活力。
1,0004,第一世代,红,宝可梦 红／绿／蓝,生下来的时候，尾巴上就有火焰在燃烧。火焰熄灭时，它的生命也会结束。
2,0004,第一世代,绿,宝可梦 红／绿／蓝,生下来的时候，尾巴上就有火焰在燃烧。火焰熄灭时，它的生命也会结束。
3,0004,第一世代,蓝,宝可梦 红／绿／蓝,天生喜欢热热的东西。据说当它被雨淋湿的时候，尾巴的末端会冒出烟来。
4,0004,第一世代,皮卡丘,宝可梦 皮卡丘,要是把它带到安静的地方，就能听到它的尾巴燃烧时发出的微小的声音。
5,0004,第二世代,金,宝可梦 金／银,在尾巴上燃烧的火焰是它生命力的象征。没有活力时火焰就会变弱。
6,0004,第二世代,银,宝可梦 金／银,尾巴上的火焰是小火龙生命力的象征。如果精神不错，火焰就会熊熊燃烧。
7,0004,第二世代,水晶版,宝可梦 水晶版,如果它很健康，即使在全身湿透的情况下尾巴上的火焰也会十分旺盛地燃烧。*
8,0004,第三世代,红宝石,宝可梦 红宝石／蓝宝石,尾巴上的火焰代表着它的心情。当它开心时，火焰会摇曳晃动。而当它生气时，火焰就会剧烈燃烧。
9,0004,第三世代,蓝宝石,宝可梦 红宝石／蓝宝石,尾巴上的火焰代表着它的心情。当它开心时，火焰会摇曳晃动。而当它生气时，火焰就会剧烈燃烧。
10,0004,第三世代,绿宝石,宝可梦 绿宝石,尾巴上的火焰代表着它的心情。当它开心时，火焰会摇曳晃动。而当它生气时，火焰就会剧烈燃烧。
11,0004,第三世代,火红,宝可梦 火红／叶绿,生下来的时候，尾巴上就有火焰在燃烧。火焰熄灭时，它的生命也会结束。
12,0004,第三世代,叶绿,宝可梦 火红／叶绿,天生喜欢热热的东西。据说当它被雨淋湿的时候，尾巴的末端会冒出烟来。
13,0004,第四世代,钻石,宝可梦 钻石／珍珠,小火龙尾巴上的火焰是它生命的灯火。精神好的时候火焰也会烧得更旺。
14,0004,第四世代,珍珠,宝可梦 钻石／珍珠,小火龙尾巴上的火焰是它生命的灯火。精神好的时候火焰也会烧得更旺。
15,0004,第四世代,白金,宝可梦 白金,小火龙尾巴上的火焰是它生命的灯火。精神好的时候火焰也会烧得更旺。
16,0004,第四世代,心金,宝可梦 心金／魂银,在尾巴上燃烧的火焰是它生命力的象征。没有活力时火焰就会变弱。
17,0004,第四世代,魂银,宝可梦 心金／魂银,尾巴上的火焰是小火龙生命力的象征。如果精神不错，火焰就会熊熊燃烧。
18,0004,第五世代,黑,宝可梦 黑／白,小火龙尾巴上的火焰是它生命的灯火。精神好的时候火焰也会烧得更旺。
19,0004,第五世代,白,宝可梦 黑／白,小火龙尾巴上的火焰是它生命的灯火。精神好的时候火焰也会烧得更旺。
20,0004,第五世代,黑２,宝可梦 黑２／白２,小火龙尾巴上的火焰是它生命的灯火。精神好的时候火焰也会烧得更旺。
21,0004,第五世代,白２,宝可梦 黑２／白２,小火龙尾巴上的火焰是它生命的灯火。精神好的时候火焰也会烧得更旺。
22,0004,第六世代,Ｘ,宝可梦 Ｘ／Ｙ,尾巴上的火焰是小火龙生命力的象征。如果精神不错，火焰就会熊熊燃烧。
23,0004,第六世代,Ｙ,宝可梦 Ｘ／Ｙ,生下来的时候，尾巴上就有火焰在燃烧。火焰熄灭时，它的生命也会结束。
24,0004,第六世代,欧米伽红宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,尾巴上的火焰代表着它的心情。当它开心时，火焰会摇曳晃动。而当它生气时，火焰就会剧烈燃烧。
25,0004,第六世代,阿尔法蓝宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,尾巴上的火焰代表着它的心情。当它开心时，火焰会摇曳晃动。而当它生气时，火焰就会剧烈燃烧。
26,0004,第七世代,Let's Go! 皮卡丘,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,要是把它带到安静的地方，就能听到它的尾巴燃烧时发出的微小的声音。
27,0004,第七世代,Let's Go! 伊布,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,要是把它带到安静的地方，就能听到它的尾巴燃烧时发出的微小的声音。
28,0004,第八世代,剑,宝可梦 剑／盾,天生喜欢热热的东西。据说当它被雨淋湿的时候，尾巴的末端会冒出烟来。
29,0004,第八世代,盾,宝可梦 剑／盾,生下来的时候，尾巴上就有火焰在燃烧。火焰熄灭时，它的生命也会结束。
30,0004,第八世代,晶灿钻石,宝可梦 晶灿钻石／明亮珍珠,小火龙尾巴上的火焰是它生命的灯火。精神好的时候火焰也会烧得更旺。
31,0004,第八世代,明亮珍珠,宝可梦 晶灿钻石／明亮珍珠,小火龙尾巴上的火焰是它生命的灯火。精神好的时候火焰也会烧得更旺。
32,0004,第九世代,朱,宝可梦 朱／紫,在尾巴上燃烧的火焰是它生命力的象征。没有活力时火焰就会变弱。
33,0004,第九世代,紫,宝可梦 朱／紫,只要它精力充沛，尾巴尖端的火焰即使被稍微弄湿也会猛烈燃烧，而不会熄灭。
1,0005,第一世代,红,宝可梦 红／绿／蓝,会先挥舞尾巴扫倒对手，然后再用利爪将其撕成碎片。
2,0005,第一世代,绿,宝可梦 红／绿／蓝,会先挥舞尾巴扫倒对手，然后再用利爪将其撕成碎片。
3,0005,第一世代,蓝,宝可梦 红／绿／蓝,如果挥舞燃烧着的尾巴，就能令周围温度不断上升，从而让对手陷入痛苦。
4,0005,第一世代,皮卡丘,宝可梦 皮卡丘,在与强敌战斗的过程中，如果情绪变得兴奋起来，有时会喷出青白色的烈火。
5,0005,第二世代,金,宝可梦 金／银,如烈火般的性格让它一直寻找对战的对手。在打赢之前沸腾的热血都不会平息。
6,0005,第二世代,银,宝可梦 金／银,挥动燃烧着火焰的尾巴，用锋利的爪子撕裂对手。性格十分粗暴。
7,0005,第二世代,水晶版,宝可梦 水晶版,如果它在战斗中亢奋起来，就会喷出灼热的火焰，把周围的东西烧得一干二净。
8,0005,第三世代,红宝石,宝可梦 红宝石／蓝宝石,它会用锋利的爪子无情地打倒对手。如果遇到强敌，它就会兴奋不已，尾巴上会燃起蓝白色的火焰。
9,0005,第三世代,蓝宝石,宝可梦 红宝石／蓝宝石,它会用锋利的爪子无情地打倒对手。如果遇到强敌，它就会兴奋不已，尾巴上会燃起蓝白色的火焰。
10,0005,第三世代,绿宝石,宝可梦 绿宝石,它会用锋利的爪子无情地打倒对手。如果遇到强敌，它就会兴奋不已，尾巴上会燃起蓝白色的火焰。
11,0005,第三世代,火红,宝可梦 火红／叶绿,会先挥舞尾巴扫倒对手，然后再用利爪将其撕成碎片。
12,0005,第三世代,叶绿,宝可梦 火红／叶绿,如果挥舞燃烧着的尾巴，就能令周围温度不断上升，从而让对手陷入痛苦。
13,0005,第四世代,钻石,宝可梦 钻石／珍珠,如果在夜晚抬头仰望栖息着火恐龙的岩山，尾巴上的火焰看起来就像夜空的星星。
14,0005,第四世代,珍珠,宝可梦 钻石／珍珠,如果在夜晚抬头仰望栖息着火恐龙的岩山，尾巴上的火焰看起来就像夜空的星星。
15,0005,第四世代,白金,宝可梦 白金,如果在夜晚抬头仰望栖息着火恐龙的岩山，尾巴上的火焰看起来就像夜空的星星。
16,0005,第四世代,心金,宝可梦 心金／魂银,如烈火般的性格让它一直寻找对战的对手。在打赢之前沸腾的热血都不会平息。
17,0005,第四世代,魂银,宝可梦 心金／魂银,挥动燃烧着火焰的尾巴，用锋利的爪子撕裂对手。性格十分粗暴。
18,0005,第五世代,黑,宝可梦 黑／白,如果在夜晚抬头仰望栖息着火恐龙的岩山，尾巴上的火焰看起来就像夜空的星星。
19,0005,第五世代,白,宝可梦 黑／白,如果在夜晚抬头仰望栖息着火恐龙的岩山，尾巴上的火焰看起来就像夜空的星星。
20,0005,第五世代,黑２,宝可梦 黑２／白２,如果在夜晚抬头仰望栖息着火恐龙的岩山，尾巴上的火焰看起来就像夜空的星星。
21,0005,第五世代,白２,宝可梦 黑２／白２,如果在夜晚抬头仰望栖息着火恐龙的岩山，尾巴上的火焰看起来就像夜空的星星。
22,0005,第六世代,Ｘ,宝可梦 Ｘ／Ｙ,会先挥舞尾巴扫倒对手，然后再用利爪将其撕成碎片。
23,0005,第六世代,Ｙ,宝可梦 Ｘ／Ｙ,如果挥舞燃烧着的尾巴，就能令周围温度不断上升，从而让对手陷入痛苦。
24,0005,第六世代,欧米伽红宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,它会用锋利的爪子无情地打倒对手。如果遇到强敌，它就会兴奋不已，尾巴上会燃起蓝白色的火焰。
25,0005,第六世代,阿尔法蓝宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,它会用锋利的爪子无情地打倒对手。如果遇到强敌，它就会兴奋不已，尾巴上会燃起蓝白色的火焰。
26,0005,第七世代,Let's Go! 皮卡丘,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,在与强敌战斗的过程中，如果情绪变得兴奋起来，有时会喷出青白色的烈火。
27,0005,第七世代,Let's Go! 伊布,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,在与强敌战斗的过程中，如果情绪变得兴奋起来，有时会喷出青白色的烈火。
28,0005,第八世代,剑,宝可梦 剑／盾,挥动燃烧着火焰的尾巴，用锋利的爪子撕裂对手。性格十分粗暴。
29,0005,第八世代,盾,宝可梦 剑／盾,如果它在战斗中亢奋起来，就会喷出灼热的火焰，把周围的东西烧得一干二净。
30,0005,第八世代,晶灿钻石,宝可梦 晶灿钻石／明亮珍珠,如果在夜晚抬头仰望栖息着火恐龙的岩山，尾巴上的火焰看起来就像夜空的星星。
31,0005,第八世代,明亮珍珠,宝可梦 晶灿钻石／明亮珍珠,如果在夜晚抬头仰望栖息着火恐龙的岩山，尾巴上的火焰看起来就像夜空的星星。
32,0005,第九世代,朱,宝可梦 朱／紫,如果挥舞燃烧着的尾巴，就能令周围温度不断上升，从而让对手陷入痛苦。
33,0005,第九世代,紫,宝可梦 朱／紫,如烈火般的性格让它一直寻找对战的对手。在打赢之前沸腾的热血都不会平息。
1,0006,第一世代,红,宝可梦 红／绿／蓝,能用翅膀飞到距地面１４００米的高度。会吐出高温火焰。
2,0006,第一世代,绿,宝可梦 红／绿／蓝,能用翅膀飞到距地面１４００米的高度。会吐出高温火焰。
3,0006,第一世代,蓝,宝可梦 红／绿／蓝,能够喷出猛烈的火焰，仿佛连岩石都能烤焦。有时会引发森林火灾。
4,0006,第一世代,皮卡丘,宝可梦 皮卡丘,从口中喷出灼热的火焰时，尾巴尖端的红色火焰会燃烧得更加猛烈。
5,0006,第二世代,金,宝可梦 金／银,当喷火龙真的生气时，它的尾巴前端就会燃起青白色的火焰。
6,0006,第二世代,银,宝可梦 金／银,喷出宛如会熔解一切的灼热火焰，来折磨敌人。*
7,0006,第二世代,水晶版,宝可梦 水晶版,用翅膀在高空翱翔。积累的战斗经验越多，火焰的温度越高。
8,0006,第三世代,红宝石,宝可梦 红宝石／蓝宝石,会在空中飞来飞去寻找强大的对手。对于比它弱小的对手，它不会吐出那可熔化一切的高温火焰。
9,0006,第三世代,蓝宝石,宝可梦 红宝石／蓝宝石,会在空中飞来飞去寻找强大的对手。对于比它弱小的对手，它不会吐出那可熔化一切的高温火焰。
10,0006,第三世代,绿宝石,宝可梦 绿宝石,会在空中飞来飞去寻找强大的对手。对于比它弱小的对手，它不会吐出那可熔化一切的高温火焰。
11,0006,第三世代,火红,宝可梦 火红／叶绿,能用翅膀飞到距地面１４００米的高度。会吐出高温火焰。
12,0006,第三世代,叶绿,宝可梦 火红／叶绿,能够喷出猛烈的火焰，仿佛连岩石都能烤焦。有时会引发森林火灾。
13,0006,第四世代,钻石,宝可梦 钻石／珍珠,据说经历过越多苦战的喷火龙，其火焰的温度就会越高。
14,0006,第四世代,珍珠,宝可梦 钻石／珍珠,据说经历过越多苦战的喷火龙，其火焰的温度就会越高。
15,0006,第四世代,白金,宝可梦 白金,据说经历过越多苦战的喷火龙，其火焰的温度就会越高。
16,0006,第四世代,心金,宝可梦 心金／魂银,当喷火龙真的生气时，它的尾巴前端就会燃起青白色的火焰。
17,0006,第四世代,魂银,宝可梦 心金／魂银,喷出宛如会熔解一切的灼热火焰，来折磨敌人。*
18,0006,第五世代,黑,宝可梦 黑／白,据说经历过越多苦战的喷火龙，其火焰的温度就会越高。
19,0006,第五世代,白,宝可梦 黑／白,据说经历过越多苦战的喷火龙，其火焰的温度就会越高。
20,0006,第五世代,黑２,宝可梦 黑２／白２,据说经历过越多苦战的喷火龙，其火焰的温度就会越高。
21,0006,第五世代,白２,宝可梦 黑２／白２,据说经历过越多苦战的喷火龙，其火焰的温度就会越高。
22,0006,第六世代,Ｘ,宝可梦 Ｘ／Ｙ,从嘴里吐出灼热的火焰时，尾巴尖端就会燃起更加鲜红炽烈的火焰。
23,0006,第六世代,Ｙ,宝可梦 Ｘ／Ｙ,能用翅膀飞到距地面１４００米的高度。会吐出高温火焰。
24,0006,第六世代,欧米伽红宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,会在空中飞来飞去寻找强大的对手。对于比它弱小的对手，它不会吐出那可熔化一切的高温火焰。
25,0006,第六世代,阿尔法蓝宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,会在空中飞来飞去寻找强大的对手。对于比它弱小的对手，它不会吐出那可熔化一切的高温火焰。
26,0006,第七世代,Let's Go! 皮卡丘,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,"从口中喷出灼热的火焰时，尾巴尖端的红色火焰会燃烧得更加猛烈。全身充斥着非比寻常的力量，这种力量染黑了它的身体，燃烧出炽热的蓝色火焰。（超级喷火龙Ｘ）
与训练家的牵绊是它的力量之源。它引以为傲的飞行能力完全凌驾于喷气式飞机之上。（超级喷火龙Ｙ）"
